seed,plan_cost,naive_plan_cost,exec_us,rows,lineage,query
42,744958,1705422,1361,3,transformation 0 JoinCommutativity: 1; transformation 9 FilterLiftThroughJoin: 2; transformation 10 ProjectionPushdownThroughJoin: 3; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 2; implementation 6 ImplementHashJoin: 2,"SELECT t1.price, t0.region_id, t2.customer_id AS c2615
FROM customers AS t0 JOIN books AS t1 ON t0.id = t1.id JOIN orders AS t2 ON t0.id = t2.id
WHERE t2.id IS NOT NULL;"
43,422,422,293,0,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT markets.region, markets.id AS c9574
FROM markets
WHERE ((markets.note IS NOT NULL OR markets.region != 'AMERICA') AND (markets.region IN ('EUROPE', 'EUROPE') AND markets.note IN ('North, South', 'North, South')));"
44,72448,648028,243,6,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; enforcer 0 SortEnforcer: 1,"SELECT t1.id AS c8372, t1.age AS c1550
FROM customers AS t0 JOIN users AS t1 ON t0.id = t1.id
WHERE t1.id > 11
ORDER BY t1.id ASC, t1.age DESC;"
45,4560,11225,172,0,transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t1.department_id AS c7018, t0.id AS c6686
FROM regions AS t0 JOIN employees AS t1 ON t0.id = t1.id
WHERE t0.id >= 10
GROUP BY t1.department_id, t0.id;"
46,1122,1122,164,1,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT t0.id
FROM regions AS t0
WHERE ((t0.id IS NOT NULL AND t0.id != 5) AND (t0.id > 8 AND t0.id > 9));"
47,110844,436233,343,1,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT employees.id
FROM customers FULL JOIN employees ON customers.id = employees.id
WHERE employees.department_id = 32
ORDER BY employees.id ASC;"
48,1443652,175655822,3485,11,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 4,"SELECT customers.region_id AS c1201, SUM(customers.region_id)
FROM orders FULL JOIN customers ON orders.id = customers.id FULL JOIN markets ON orders.id = markets.id
GROUP BY customers.region_id;"
49,560554,560554,1253,0,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT orders.customer_id, orders.id
FROM orders
WHERE ((orders.id = 130 OR orders.id <= 96) AND orders.id = 97)
ORDER BY orders.customer_id DESC, orders.id DESC;"
50,1239,1972,489,3,transformation 5 FilterPushdownThroughJoin: 1; transformation 10 ProjectionPushdownThroughJoin: 3; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 2; implementation 6 ImplementHashJoin: 1,"SELECT markets.id
FROM markets RIGHT JOIN departments ON markets.id = departments.id
WHERE markets.id < 45;"
51,610,610,140,5,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT t0.id
FROM departments AS t0;"
52,3345275,5714300,8172,5000,transformation 0 JoinCommutativity: 1; transformation 2 FilterSplit: 3; transformation 5 FilterPushdownThroughJoin: 2; transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT orders.id, COUNT(*)
FROM books CROSS JOIN orders
WHERE books.price NOT IN (45, 55, 55, 66)
GROUP BY orders.id;"
53,30725,62340,348,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT users.id, COUNT(employees.id) AS c5902
FROM employees CROSS JOIN users JOIN markets ON users.id = markets.id
GROUP BY users.id
ORDER BY users.id ASC;"
54,5100,5100,178,15,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT users.age, users.id AS c207, SUM(users.id)
FROM users
WHERE (users.age > 27 OR (users.age <= 123 AND users.age > 1))
GROUP BY users.age, users.id
ORDER BY users.id ASC;"
55,1342,1342,128,11,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT t0.department_id AS c7732
FROM employees AS t0;"
56,40022332,53882332,79727,3,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 5 ImplementCrossJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT books.id, SUM(orders.customer_id) AS c2549, COUNT(*) AS c1539
FROM books CROSS JOIN employees CROSS JOIN orders
WHERE employees.id < 68
GROUP BY books.id;"
57,881250,881250,1505,3001,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT orders.id AS c9114
FROM orders
WHERE (orders.customer_id > 214 OR orders.customer_id BETWEEN 75 AND 84);"
58,4073600,1927083100,3920,110,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT employees.department_id, customers.region_id, COUNT(*), SUM(orders.customer_id)
FROM employees CROSS JOIN customers FULL JOIN orders ON customers.id = orders.id
WHERE customers.id <= 149
GROUP BY employees.department_id, customers.region_id;"
59,175500,175500,469,500,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.id, customers.region_id, COUNT(customers.region_id)
FROM customers
GROUP BY customers.id, customers.region_id;"
60,3577,5702,185,17,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.id
FROM markets AS t0 FULL JOIN users AS t1 ON t0.id = t1.id
ORDER BY t0.id ASC;"
61,1763,2493,272,5,transformation 0 JoinCommutativity: 1; transformation 2 FilterSplit: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; enforcer 0 SortEnforcer: 1,"SELECT t1.region, t1.id, t1.note
FROM departments AS t0 CROSS JOIN markets AS t1
WHERE ((t0.id < 43 OR t0.id >= 2) AND t1.note = 'Old World')
ORDER BY t1.note DESC, t1.id ASC, t1.region ASC;"
62,69881,156916,323,5,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT departments.id AS c7718
FROM departments LEFT JOIN books ON departments.id = books.id JOIN customers ON departments.id = customers.id;"
63,4771,9075,197,11,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT users.age AS c5029, COUNT(*) AS c2096, SUM(users.age)
FROM users FULL JOIN departments ON users.id = departments.id
GROUP BY users.age
ORDER BY users.age ASC;"
64,1494000,175610500,1709,500,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT customers.region_id AS c6827, orders.id, customers.id
FROM customers LEFT JOIN orders ON customers.id = orders.id
ORDER BY customers.region_id ASC, customers.id ASC, orders.id DESC;"
65,1558,2113,203,0,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT markets.id AS c8656, markets.region
FROM markets FULL JOIN departments ON markets.id = departments.id
WHERE departments.id = 60
GROUP BY markets.id, markets.region;"
66,563,563,234,1,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT markets.note AS c5953, SUM(markets.id), SUM(markets.id)
FROM markets
WHERE markets.region = 'EUROPE'
GROUP BY markets.note;"
67,61000,61000,262,500,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT customers.region_id, customers.id AS c651
FROM customers;"
68,1311707,6465260,5389,5001,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT users.id, regions.id AS c5610, orders.id AS c9918
FROM users FULL JOIN orders ON users.id = orders.id FULL JOIN regions ON orders.id = regions.id
ORDER BY users.id DESC;"
69,356822,548611,2595,2380,transformation 0 JoinCommutativity: 2; transformation 6 InToOrChain: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT t0.id AS c499
FROM books AS t0 FULL JOIN users AS t1 ON t0.id = t1.id CROSS JOIN customers AS t2
WHERE ((t0.price > 66 OR t0.price NOT IN (55, 77, 93)) OR t2.id < 93)
ORDER BY t0.id ASC;"
70,574,574,156,1,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT markets.region, markets.note
FROM markets
WHERE markets.id IN (2, 31)
GROUP BY markets.region, markets.note
ORDER BY markets.note ASC, markets.region ASC;"
71,5300,5300,256,5,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT departments.id AS c3175, SUM(departments.id), COUNT(books.price)
FROM books CROSS JOIN departments
GROUP BY departments.id;"
72,788,788,138,4,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id
FROM departments AS t0
WHERE t0.id >= 2
ORDER BY t0.id ASC;"
73,67449,155422,437,0,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; transformation 10 ProjectionPushdownThroughJoin: 3; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 2; implementation 6 ImplementHashJoin: 1,"SELECT customers.id, customers.region_id
FROM customers JOIN markets ON customers.id = markets.id
WHERE ((markets.id = 3 AND markets.region != 'AMERICA') AND (customers.id < 17 AND customers.region_id IS NULL));"
74,109996,226972,330,3,transformation 0 JoinCommutativity: 2; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 3,"SELECT books.id AS c9785
FROM customers RIGHT JOIN departments ON customers.id = departments.id RIGHT JOIN books ON departments.id = books.id
WHERE books.price >= 55;"
75,15960,15960,395,110,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1,"SELECT t1.department_id AS c5193, t1.id
FROM regions AS t0 CROSS JOIN employees AS t1;"
